City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,damoh,23.8333,79.45,87.33,46,99,8.93,IN,1623026330
329,tuatapere,-46.1333,167.6833,49.82,71,4,4.43,NZ,1623026330
330,epinal,48.1833,6.45,59.14,99,90,4.09,FR,1623026065
331,erdenet,49.0333,104.0833,35.92,100,100,6.91,MN,1623026331
332,copiapo,-27.3667,-70.3333,53.6,87,90,5.75,CL,1623026331
333,freeport,40.6576,-73.5832,86.99,67,1,1.01,US,1623026051
334,tayga,56.06,85.6197,58.12,89,9,8.59,RU,1623026332
335,cajibio,2.6227,-76.5704,58.78,97,100,3.22,CO,1623026332
336,oksfjord,70.2396,22.3479,46.47,46,95,7.81,NO,1623026333
337,cap-aux-meules,47.3821,-61.8597,48.2,81,49,4.61,CA,1623026333
338,ossora,59.2353,163.0719,41.65,89,100,5.3,RU,1623026334
339,sisimiut,66.9395,-53.6735,41.74,86,100,0.09,GL,1623026334
340,dodge city,37.7528,-100.0171,83.71,63,40,8.99,US,1623026243
341,malkangiri,18.35,81.9,82.26,72,100,1.19,IN,1623026335
342,cabedelo,-6.9811,-34.8339,75.87,85,35,11.12,BR,1623026336
343,makakilo city,21.3469,-158.0858,84.52,50,75,9.22,US,1623026336
344,elizabeth city,36.2946,-76.2511,84.25,78,1,5.75,US,1623026337
345,balikpapan,-1.2675,116.8289,78.15,86,100,4.16,ID,1623026337
346,pochutla,15.7432,-96.4661,77.83,81,100,5.26,MX,1623026338
347,tshane,-24.0196,21.8684,44.85,66,0,9.91,BW,1623026338
348,tromso,69.6496,18.957,43.45,49,34,5.23,NO,1623026339
349,bosaso,11.2842,49.1816,91.83,39,0,18.07,SO,1623026339
350,grindavik,63.8424,-22.4338,46.4,100,75,9.22,IS,1623026340
351,cockburn town,21.4612,-71.1419,80.56,74,40,17.27,TC,1623026340
352,lufilufi,-13.8745,-171.5986,89.38,74,26,3.33,WS,1623026341
353,pangkalanbuun,-2.6833,111.6167,81.18,82,56,3.6,ID,1623026327
354,buri,-23.7975,-48.5928,59.43,98,41,8.21,BR,1623026342
355,half moon bay,37.4636,-122.4286,80.24,59,1,1.99,US,1623026343
356,sol-iletsk,51.1631,54.9918,59.74,50,17,7.85,RU,1623026123
357,pauini,-7.7136,-66.9764,73.18,98,100,1.92,BR,1623026344
358,lompoc,34.6391,-120.4579,71.74,74,90,13.0,US,1623026344
359,novooleksiyivka,46.2269,34.6428,57.33,86,69,9.22,UA,1623026345
360,ust-karsk,52.7011,118.8077,78.49,28,15,6.51,RU,1623026345
361,concarneau,47.875,-3.9225,57.06,93,4,5.37,FR,1623026345
362,novosheshminsk,55.0651,51.2338,57.22,83,3,1.61,RU,1623026346
363,port lincoln,-34.7333,135.8667,64.17,51,0,25.34,AU,1623026346
364,baijiantan,45.6333,85.1833,69.58,21,11,5.53,CN,1623026347
